iter	Accuracy	MultiClass
820	1	0.1161405505
821	1	0.1159591168
822	1	0.1158213361
823	1	0.1156887035
824	1	0.1155667641
825	1	0.1153898601
826	1	0.1152444087
827	1	0.1151001395
828	1	0.1149329841
829	1	0.1148122139
830	1	0.1146696921
831	1	0.1145822941
832	1	0.1144833756
833	1	0.114312587
834	1	0.1141656876
835	1	0.1140189541
836	1	0.1138716868
837	1	0.113700146
838	1	0.1134625522
839	1	0.1133182859
840	1	0.1132124151
841	1	0.1131406942
842	1	0.1129013214
843	1	0.1127453897
844	1	0.1126282083
845	1	0.1124215487
846	1	0.1123322437
847	1	0.112144764
848	1	0.1119492144
849	1	0.1117790068
850	1	0.111622578
851	1	0.1113241052
852	1	0.1111895299
853	1	0.1110436455
854	1	0.1109108551
855	1	0.110798436
856	1	0.1106966358
857	1	0.1105370303
858	1	0.1104223048
859	1	0.1102618615
860	1	0.1100740793
861	1	0.1099230313
862	1	0.1098378415
863	1	0.1097104417
864	1	0.1095733376
865	1	0.1094125011
866	1	0.1092713806
867	1	0.1091087529
868	1	0.1089935517
869	1	0.1089033452
870	1	0.1088095175
871	1	0.1086571463
872	1	0.1085543164
873	1	0.1083419591
874	1	0.1081735312
875	1	0.1080935614
876	1	0.1079024583
877	1	0.1077127495
878	1	0.1075541527
879	1	0.1074370022
880	1	0.1073033004
881	1	0.1071940188
882	1	0.1070155032
883	1	0.1068898947
884	1	0.1067411932
885	1	0.1065673078
886	1	0.1064079478
887	1	0.1063280277
888	1	0.1061828709
889	1	0.1060053661
890	1	0.1058490351
891	1	0.1057139154
892	1	0.1055756837
893	1	0.1054156869
894	1	0.105255162
895	1	0.1051579001
896	1	0.1050068216
897	1	0.1048714878
898	1	0.1047232884
899	1	0.1046519742
900	1	0.1045237687
901	1	0.1043728527
902	1	0.1042449284
903	1	0.1040678398
904	1	0.1039778553
905	1	0.1038214991
906	1	0.1037036784
907	1	0.1035468501
908	1	0.1035045605
909	1	0.1034240823
910	1	0.1032851685
911	1	0.1031195946
912	1	0.1030495857
913	1	0.1029558053
914	1	0.1028701215
915	1	0.1027204645
916	1	0.1026087784
917	1	0.1024357539
918	1	0.102256746
919	1	0.102129879
920	1	0.1020518917
921	1	0.10195645
922	1	0.1018417256
923	1	0.1017219487
924	1	0.1015773204
925	1	0.1014003608
926	1	0.1012786489
927	1	0.1011841628
928	1	0.1010430811
929	1	0.1009372163
930	1	0.1008000093
931	1	0.1006203203
932	1	0.1005367089
933	1	0.100329725
934	1	0.1002074653
935	1	0.1000889661
936	1	0.09997885677
937	1	0.09986028575
938	1	0.09975449585
939	1	0.09960276991
940	1	0.09943368675
941	1	0.09925953454
942	1	0.09917186585
943	1	0.09901295147
944	1	0.0988868863
945	1	0.09872711596
946	1	0.09865890949
947	1	0.09855782356
948	1	0.09839544352
949	1	0.098261302
950	1	0.09820527125
951	1	0.09803810516
952	1	0.09798030768
953	1	0.09783723438
954	1	0.09776031351
955	1	0.09767646288
956	1	0.0975358681
957	1	0.09738990876
958	1	0.0972130501
959	1	0.09705129035
960	1	0.09689491755
961	1	0.09684399572
962	1	0.0967045725
963	1	0.09656097551
964	1	0.09648894486
965	1	0.09631937717
966	1	0.0962139918
967	1	0.09612619467
968	1	0.09602332122
969	1	0.0958911672
970	1	0.09580546911
971	1	0.09566678574
972	1	0.09554009441
973	1	0.09542395764
974	1	0.09531752504
975	1	0.09524831862
976	1	0.09509488844
977	1	0.09494621405
978	1	0.09483127264
979	1	0.09468042182
980	1	0.09457678818
981	1	0.09447145042
982	1	0.0943811634
983	1	0.09422498937
984	1	0.09411754781
985	1	0.09401192635
986	1	0.09392623699
987	1	0.09378549787
988	1	0.09371161038
989	1	0.09364821421
990	1	0.09348827631
991	1	0.09337639438
992	1	0.09332098093
993	1	0.09324964062
994	1	0.09315891597
995	1	0.09302517412
996	1	0.09286560857
997	1	0.09274464908
998	1	0.09262470705
999	1	0.09242012451
